Position,Title,Author,Description,Article link,PDF Link,Research Methods,Focus Areas,Topics or Themes,Geographical Focus,Temporal Focus
210,Large language models for code: Security hardening and adversarial testing,"J He, M Vechev - 2023 - openreview.net","… the security of LMs for code in two complementary directions. First, we introduce security
hard… Second, we explore the potential of degrading LM’s security level from an adversarial …",https://openreview.net/forum?id=Km1XyJJVpS,https://openreview.net/pdf?id=Km1XyJJVpS,,,,,
211,"Unveiling Security, Privacy, and Ethical Concerns of ChatGPT","X Wu, R Duan, J Ni - arXiv preprint arXiv:2307.14192, 2023 - arxiv.org","… ], a highly capable large language model for natural language processing. GPT has exhibited
exceptional performance across a wide range of complex language tasks, positioning it as …",https://arxiv.org/abs/2307.14192,https://arxiv.org/pdf/2307.14192,,,,,
212,Sensec: Mobile security through passive sensing,"J Zhu, P Wu, X Wang, J Zhang - 2013 international conference …, 2013 - ieeexplore.ieee.org","… the language. We then train a continuos n-gram language model on those traces and use the
trained model for … our hypothesis and improve our model in the presence of large data sets. …",https://ieeexplore.ieee.org/abstract/document/6504251/,https://www.cic.ipn.mx/~pescamilla/MS/papers_2014/Zhuetal2013.pdf,,,,,
213,Language models are unsupervised multitask learners,"A Radford, J Wu, R Child, D Luan… - OpenAI …, 2019 - insightcivic.s3.us-east-1.amazonaws …","… At the core of our approach is language modeling. Language … is the head of the department
of homeland security 2017? … When a large language model is trained on a sufficiently large …",https://insightcivic.s3.us-east-1.amazonaws.com/language-models.pdf,https://insightcivic.s3.us-east-1.amazonaws.com/language-models.pdf,,,,,
214,Examining zero-shot vulnerability repair with large language models,"H Pearce, B Tan, B Ahmad, R Karri… - … on Security and …, 2023 - ieeexplore.ieee.org","… also generated by the language model without bugs, it is also worth noting that the LLMs
are capable of generating bug-free code even without additional context—assuming that they ‘…",https://ieeexplore.ieee.org/abstract/document/10179324/,https://arxiv.org/pdf/2112.02125,,,,,
215,Unlocking Hardware Security Assurance: The Potential of LLMs,"X Meng, A Srivastava, A Arunachalam, A Ray… - arXiv preprint arXiv …, 2023 - arxiv.org","… language model by enhancing and identifying the security property-related context in each
sentence. Further details about the security … by Wordnet, a large lexical database of English, …",https://arxiv.org/abs/2308.11042,https://arxiv.org/pdf/2308.11042,,,,,
216,VAE-Stega: linguistic steganography based on variational auto-encoder,"ZL Yang, SY Zhang, YT Hu, ZW Hu… - … Forensics and Security, 2020 - ieeexplore.ieee.org","… to learn the statistical language model of a large number of normal sentences, and then
automatically generate sentences based on the learned language model, and finally realize the …",https://ieeexplore.ieee.org/abstract/document/9193914/,https://www.researchgate.net/profile/Zhongliang-Yang-2/publication/343840385_VAE-Stega_Linguistic_Steganography_Based_on_Variational_Auto-Encoder/links/5f44616e299bf13404efa79b/VAE-Stega-Linguistic-Steganography-Based-on-Variational-Auto-Encoder.pdf,,,,,
217,Language models are few-shot learners,"T Brown, B Mann, N Ryder… - Advances in neural …, 2020 - proceedings.neurips.cc","… GPT-3, an autoregressive language model with 175 billion … When the test set is private, our
model is often too large to fit … To help with this, we can think in terms of traditional security risk …",https://proceedings.neurips.cc/paper_files/paper/2020/hash/1457c0d6bfcb4967418bfb8ac142f64a-Abstract.html?utm_medium=email&utm_source=transaction,https://proceedings.neurips.cc/paper_files/paper/2020/file/1457c0d6bfcb4967418bfb8ac142f64a-Paper.pdf,,,,,
218,SecureFalcon: The Next Cyber Reasoning System for Cyber Security,"MA Ferrag, A Battah, N Tihanyi, M Debbah… - arXiv preprint arXiv …, 2023 - arxiv.org","… SecureBERT [23] is a language model designed for cybersecurity … Penedo, “Falcon-40B:
an open large language model with … cyber threat detection with large language models,” arXiv …",https://arxiv.org/abs/2307.06616,https://arxiv.org/pdf/2307.06616,,,,,
219,Large language models in cryptocurrency securities cases: Can chatgpt replace lawyers?,"A Trozze, T Davies, B Kleinberg - arXiv preprint arXiv:2308.06032, 2023 - arxiv.org","… It is not appropriate to rely solely on an AI language model to generate such a document,
as it may not be accurate, up-to-date, or tailored to the specific legal context. Legal documents …",https://arxiv.org/abs/2308.06032,https://arxiv.org/pdf/2308.06032,,,,,
220,"Document language models, query models, and risk minimization for information retrieval","J Lafferty, C Zhai - Proceedings of the 24th annual international ACM …, 2001 - dl.acm.org","… A language model for each document is estimated, as well as a language model for each …
The query language model can be exploited to model user preferences, the context of a query, …",https://dl.acm.org/doi/abs/10.1145/383952.383970,https://www.academia.edu/download/30739205/10.1.1.69.116.pdf,,,,,
221,ChatGPT for good? On opportunities and challenges of large language models for education,"E Kasneci, K Seßler, S Küchemann, M Bannert… - Learning and individual …, 2023 - Elsevier","… large language models in education that were published since the release of the first large
language model … and security concerns when using large language models in education are: …",https://www.sciencedirect.com/science/article/pii/S1041608023000195,https://osf.io/preprints/edarxiv/5er8f/download,,,,,
222,Growing a pattern language (for security),"M Hafiz, P Adamczyk, RE Johnson - … on New ideas, new paradigms, and …, 2012 - dl.acm.org","… But the next step–building pattern languages–has proven much more difficult. This paper …
large pattern language for security: an approach that can be used to create pattern languages …",https://dl.acm.org/doi/abs/10.1145/2384592.2384607,https://hillside.net/plop/2011/papers/A-39-Hafiz.pdf,,,,,
223,Training language models to follow instructions with human feedback,"L Ouyang, J Wu, X Jiang, D Almeida… - Advances in …, 2022 - proceedings.neurips.cc","… a language model API, we collect a dataset of labeler demonstrations of the desired model
behavior, … Overall, our results indicate that fine-tuning large language models using human …",https://proceedings.neurips.cc/paper_files/paper/2022/hash/b1efde53be364a73914f58805a001731-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2022/file/b1efde53be364a73914f58805a001731-Paper-Conference.pdf,,,,,
224,Security applications of formal language theory,"L Sassaman, ML Patterson, S Bratus… - IEEE Systems …, 2013 - ieeexplore.ieee.org","… a large share of modern computing systems’ insecurity. We show how our approach leads
to advances in input validation, security modeling, … adornments to a language model will not …",https://ieeexplore.ieee.org/abstract/document/6553401/,https://digitalcommons.dartmouth.edu/cgi/viewcontent.cgi?article=1337&context=cs_tr,,,,,
225,Harnessing GPT-4 for generation of cybersecurity GRC policies: A focus on ransomware attack mitigation,"T McIntosh, T Liu, T Susnjak, H Alavizadeh, A Ng… - … & Security, 2023 - Elsevier","… ), a state-of-the-art large language model, in generating cybersecurity policies to deter and …
policies, with those from established security vendors and government cybersecurity agencies…",https://www.sciencedirect.com/science/article/pii/S0167404823003346,https://www.sciencedirect.com/science/article/pii/S0167404823003346,,,,,
226,A study of probabilistic password models,"J Ma, W Yang, M Luo, N Li - 2014 IEEE Symposium on Security …, 2014 - ieeexplore.ieee.org","… We also observe that research in password modeling can benefit from the extensive literature
in statistical language modeling. We conduct a systematic evaluation of a large number of …",https://ieeexplore.ieee.org/abstract/document/6956595/,https://www.ieee-security.org/TC/SP2014/papers/AStudyofProbabilisticPasswordModels.pdf,,,,,
227,Pointer sentinel mixture models,"S Merity, C Xiong, J Bradbury, R Socher - arXiv preprint arXiv:1609.07843, 2016 - arxiv.org","… that allows for learning long range dependencies, we also introduce a new benchmark
dataset for language modeling called WikiText. … We compare against the large model configu- …",https://arxiv.org/abs/1609.07843,https://arxiv.org/pdf/1609.07843,,,,,
228,Integrating and evaluating neural word embeddings in information retrieval,"G Zuccon, B Koopman, P Bruza… - Proceedings of the 20th …, 2015 - dl.acm.org","… well known translation language model for information retrieval. This language model captures
… our implementation of neural translation language models and the large number of word …",https://dl.acm.org/doi/abs/10.1145/2838931.2838936,https://eprints.qut.edu.au/91418/1/adcs2015_neural_translation_lm.pdf,,,,,
229,RNN-stega: Linguistic steganography based on recurrent neural networks,"ZL Yang, XQ Guo, ZM Chen, YF Huang… - … and Security, 2018 - ieeexplore.ieee.org","… model with a large number of artificially generated samples and obtained a good estimate of
the statistical language model. … According to the well-trained statistical language model, we …",https://ieeexplore.ieee.org/abstract/document/8470163/,https://www.researchgate.net/profile/Zhongliang-Yang-2/publication/327852903_RNN-Stega_Linguistic_Steganography_Based_on_Recurrent_Neural_Networks/links/5bec313b92851c6b27be06d9/RNN-Stega-Linguistic-Steganography-Based-on-Recurrent-Neural-Networks.pdf,,,,,
230,Federated learning for mobile keyboard prediction,"A Hard, K Rao, R Mathews, S Ramaswamy… - arXiv preprint arXiv …, 2018 - arxiv.org","… Training a prediction model requires a large data sample that … We show that a CIFG language
model trained from scratch … Federated learning offers security and privacy advantages for …",https://arxiv.org/abs/1811.03604,https://arxiv.org/pdf/1811.03604,,,,,Future Predictions
231,A meta language for threat modeling and attack simulations,"P Johnson, R Lagerström, M Ekstedt - … , Reliability and Security, 2018 - dl.acm.org","… model-driven security engineering we also find domain-specific languages intended for security
… The field of model-driven security engineering includes quite a large number of domain-…",https://dl.acm.org/doi/abs/10.1145/3230833.3232799,https://www.researchgate.net/profile/Pontus-Johnson/publication/327005933_A_Meta_Language_for_Threat_Modeling_and_Attack_Simulations/links/5bfe8cb445851523d151b167/A-Meta-Language-for-Threat-Modeling-and-Attack-Simulations.pdf,,,,,
232,An investigative design based statistical approach for determining Bangla sentence validity,"MR Rahman, MT Habib, MS Rahman… - … and Network Security, 2016 - researchgate.net","… language model combined with Witten-Bell smoothing and Backoff language modeling …
score produced by a language model (LM) learned from a large corpus of correct sentences…",https://www.researchgate.net/profile/Riazur-Rahman/publication/311693706_An_Investigative_Design_Based_Statistical_Approach_for_Determining_Bangla_Sentence_Validity/links/5854ce5b08ae8f695553d724/An-Investigative-Design-Based-Statistical-Approach-for-Determining-Bangla-Sentence-Validity.pdf,https://www.researchgate.net/profile/Riazur-Rahman/publication/311693706_An_Investigative_Design_Based_Statistical_Approach_for_Determining_Bangla_Sentence_Validity/links/5854ce5b08ae8f695553d724/An-Investigative-Design-Based-Statistical-Approach-for-Determining-Bangla-Sentence-Validity.pdf,,,,,
233,Malware detection by analysing network traffic with neural networks,"P Prasse, L Machlica, T Pevný… - 2017 IEEE Security …, 2017 - ieeexplore.ieee.org","… method based on a neural language model and a long short-term memory (LSTM)
network. We study the method’s ability to detect new malware in a largescale empirical study. …",https://ieeexplore.ieee.org/abstract/document/8227308/,https://www.researchgate.net/profile/Tomas-Pevny/publication/322002101_Malware_Detection_by_Analysing_Network_Traffic_with_Neural_Networks/links/5bc85c67a6fdcc03c78f58e4/Malware-Detection-by-Analysing-Network-Traffic-with-Neural-Networks.pdf,,,,,
234,Attacks on lexical natural language steganography systems,"CM Taskiran, U Topkara, M Topkara… - Security …, 2006 - spiedigitallibrary.org","… Section 4 introduces the language modeling scheme used by our system. In Section 5 we
… piece of text according to the model. SRILM provides a large number of parameters for LM …",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/6072/607209/Attacks-on-lexical-natural-language-steganography-systems/10.1117/12.649551.short,https://www.researchgate.net/profile/Umut-Topkara/publication/249915757_Attacks_on_Lexical_Natural_Language_Steganography_Systems/links/55d35ad808aec1b0429f36bc/Attacks-on-Lexical-Natural-Language-Steganography-Systems.pdf,,,,,
235,A domain-specific language for modelling security objectives in a business process models of soa applications,"M Saleem, J Jaafar, M Hassan - AISS, 2012 - researchgate.net","… We have presented a DSL, to model the security requirements along the business process
model. We … It is very clumsy to add domain-specific restrictions in large languages like UML; …",https://www.researchgate.net/profile/Jafreezal-Jaafar/publication/265026009_A_Domain-Specific_Language_for_Modelling_Security_Objectives_in_a_Business_Process_Models_of_SOA_Applications/links/5440743b0cf2fd72f99dd9b8/A-Domain-Specific-Language-for-Modelling-Security-Objectives-in-a-Business-Process-Models-of-SOA-Applications.pdf,https://www.researchgate.net/profile/Jafreezal-Jaafar/publication/265026009_A_Domain-Specific_Language_for_Modelling_Security_Objectives_in_a_Business_Process_Models_of_SOA_Applications/links/5440743b0cf2fd72f99dd9b8/A-Domain-Specific-Language-for-Modelling-Security-Objectives-in-a-Business-Process-Models-of-SOA-Applications.pdf,,,,,Current Issues
236,Prefix-tuning: Optimizing continuous prompts for generation,"XL Li, P Liang - arXiv preprint arXiv:2101.00190, 2021 - arxiv.org","… large pretrained language models to perform downstream tasks. However, it modifies all the
language model … ural language generation tasks, which keeps language model parameters …",https://arxiv.org/abs/2101.00190,https://arxiv.org/pdf/2101.00190,,,,,
237,On challenges of AI to cognitive security and safety,"R Huang, X Zheng, Y Shang, X Xue - Security and Safety, 2023 - sands.edpsciences.org","… large language models (LLMs). As with any emerging technology, it is a two-sided coin, bringing
not only vast social impacts but also significant security … to explore the security concerns …",https://sands.edpsciences.org/articles/sands/abs/2023/01/sands20230010/sands20230010.html,https://sands.edpsciences.org/articles/sands/full_html/2023/01/sands20230010/sands20230010.html?utm_source=TrendMD&utm_medium=cpc&utm_campaign=Security_and_Safety_(S%2526S)_TrendMD_0,,,,,
238,A deep learning-based RNNs model for automatic security audit of short messages,"L You, Y Li, Y Wang, J Zhang… - 2016 16th International …, 2016 - ieeexplore.ieee.org","… model will provide support for police’s manual review, relieve their working pressure to a large
degree, and improve prison security … excellent, especially in Language modeling, speech …",https://ieeexplore.ieee.org/abstract/document/7751626/,,,,,,
239,"PCySeMoL: Predictive, Probabilistic Cyber Security Modeling Language","H Holm, K Shahzad, M Buschle… - IEEE Transactions on …, 2014 - ieeexplore.ieee.org","… state of the physical process can have severe effects for the society at large. As a result,
various common cyber security tools that can have a negative impact on availability are not used …",https://ieeexplore.ieee.org/abstract/document/6990572/,https://www.diva-portal.org/smash/record.jsf?pid=diva2:690780,,,,,
240,Web spam detection: new classification features based on qualified link analysis and language models,"L Araujo, J Martinez-Romo - … Information Forensics and Security, 2010 - ieeexplore.ieee.org","… Thus, we apply a language model approach to different … fewer features, on two large and
public datasets such as … This information is very useful because we will be able to detect a large …",https://ieeexplore.ieee.org/abstract/document/5475235/,http://e-spacio.uned.es/fez/eserv/bibliuned:DptoLSI-ETSI-MA2VICMR-1080/Documento.pdf,,,,,
241,Topic modeling: beyond bag-of-words,"HM Wallach - Proceedings of the 23rd international conference on …, 2006 - dl.acm.org","… Given these counts, the aim of bigram language modeling is to … estimator has too large
a variance to be used by itself. … language model and Blei et al.’s latent Dirichlet allocation. …",https://dl.acm.org/doi/abs/10.1145/1143844.1143967,https://people.cs.umass.edu/~wallach/talks/beyond_bag-of-words.pdf,,,,,
242,Gender bias in neural natural language processing,"K Lu, P Mardziel, F Wu, P Amancharla… - … , Language, and Security …, 2020 - Springer","… In this section we briefly summarize requisite elements of neural coreference resolution
and language modeling systems: scoring layers and loss evaluation, performance measures, …",https://link.springer.com/chapter/10.1007/978-3-030-62077-6_14,https://arxiv.org/pdf/1807.11714,,,Solutions and Mitigations,,
243,Identifying and mitigating the security risks of generative ai,"C Barrett, B Boyd, E Burzstein, N Carlini… - arXiv preprint arXiv …, 2023 - arxiv.org","… Generative AI (GenAI) techniques, such as large language models (LLMs) and diffusion
models… However, the language modeling objective used for training – predicting the next token – …",https://arxiv.org/abs/2308.14840,https://arxiv.org/pdf/2308.14840,,,,,
244,{A4NT}: Author attribute anonymity by adversarial training of neural machine translation,"R Shetty, B Schiele, M Fritz - … Security Symposium (USENIX Security 18), 2018 - usenix.org","… with large … language models are good at producing grammatically correct text. The likelihood
of the sentence produced by our A4NT model s under an unconditional language model, My…",https://www.usenix.org/conference/usenixsecurity18/presentation/shetty,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-shetty.pdf,,,,,
245,Language-based information-flow security,"A Sabelfeld, AC Myers - IEEE Journal on selected areas in …, 2003 - ieeexplore.ieee.org","… It is unrealistic to assume that all the programs in a large computing system are trustworthy;
security mechanisms such as signature verification and antivirus scanning do not provide …",https://ieeexplore.ieee.org/abstract/document/1159651/,https://www.cs.cornell.edu/andru/papers/jsac/sm-jsac03.pdf,,,,,
246,Backdoor attacks and countermeasures in natural language processing models: A comprehensive security review,"P Cheng, Z Wu, W Du, G Liu - arXiv preprint arXiv:2309.06055, 2023 - arxiv.org","… Model with Fine-tuning The question of whether downloading untrusted pre-trained weights
can pose a security hazard is raised in light of the fact that large … crafted language model that …",https://arxiv.org/abs/2309.06055,https://arxiv.org/pdf/2309.06055,,,,,
247,Learning differentially private recurrent language models,"HB McMahan, D Ramage, K Talwar… - arXiv preprint arXiv …, 2017 - arxiv.org","… updates together, enabling large-step model updates. … language model trained with strong
privacy guarantees in §3, showing no significant decrease in model accuracy given a large …",https://arxiv.org/abs/1710.06963,https://arxiv.org/pdf/1710.06963,,,,,
248,Malware detection on highly imbalanced data through sequence modeling,"R Oak, M Du, D Yan, H Takawale, I Amit - … intelligence and security, 2019 - dl.acm.org","… We achieve a near-perfect F1 score of almost 0.985 on a large dataset having 183, 000
samples, … Using the state-of-the-art language model BERT, we achieve an F1 score of 0.919 on a …",https://dl.acm.org/doi/abs/10.1145/3338501.3357374,https://dl.acm.org/doi/pdf/10.1145/3338501.3357374,,,,,
249,The FormAI Dataset: Generative AI in Software Security Through the Lens of Formal Verification,"N Tihanyi, T Bisztray, R Jain, MA Ferrag… - arXiv preprint arXiv …, 2023 - arxiv.org","… This paper presents the FormAI dataset, a large collection of … diverse set of programs utilizing
Large Language Models (LLMs). … Bounded Model Checker (ESBMC), which exploits model …",https://arxiv.org/abs/2307.02192,https://arxiv.org/pdf/2307.02192,,,,,Current Issues
250,Automated extraction of security policies from natural-language software documents,"X Xiao, A Paradkar, S Thummalapenta… - Proceedings of the ACM …, 2012 - dl.acm.org","… of ACPs is crucial to prevent security vulnerabilities. However, in practice, ACPs are
commonly written in Natural Language (NL) and buried in large documents such as requirements …",https://dl.acm.org/doi/abs/10.1145/2393596.2393608,https://repository.lib.ncsu.edu/bitstream/handle/1840.4/4295/TR-2011-7.pdf?sequence=1,,,,,
251,Analysis of security data from a large computing organization,"A Sharma, Z Kalbarczyk, J Barlow… - 2011 IEEE/IFIP 41st …, 2011 - ieeexplore.ieee.org","… This conclusion clearly does not represent the state of security in 2010 as indicated by our
study of data on security attacks, which occurred in a large computing organization over the …",https://ieeexplore.ieee.org/abstract/document/5958263/,https://www.academia.edu/download/74326863/Analysis_of_security_data_from_a_large_c20211107-7243-1gteu0x.pdf,,,,,Current Issues
252,SecureUML: A UML-based modeling language for model-driven security,"T Lodderstedt, D Basin, J Doser - … on the Unified Modeling Language, 2002 - Springer","… It is an industry standard with strong security support, which is implemented by a large
number of application servers. Due to lack of space, we only describe the basic concepts of EJB, …",https://link.springer.com/chapter/10.1007/3-540-45800-X_33,https://ethz.ch/content/dam/ethz/special-interest/infk/inst-infsec/information-security-group-dam/research/publications/pub2002/SecureUML.pdf,,,,,
253,A survey of text data augmentation,"P Liu, X Wang, C Xiang, W Meng - … and Network Security  …, 2020 - ieeexplore.ieee.org","… However, the pre-trained model is different from this. If we can add tag … the model, we can
get good results by using a large number of unlabeled data for pre-training of language model. …",https://ieeexplore.ieee.org/abstract/document/9240734/,,,,,,
254,Modeling and verifying security policies in business processes,"M Salnitri, F Dalpiaz, P Giorgini - … on Business Process Modeling …, 2014 - Springer","… These systems manage a large amount of private and … , to model security policies using
the security annotations in Table 2. Our query language permits to graphically model security …",https://link.springer.com/chapter/10.1007/978-3-662-43745-2_14,http://www.disi.unitn.it/~pgiorgio/papers/BPMDS-14.pdf,,,,,
255,Model driven security: From UML models to access control infrastructures,"D Basin, J Doser, T Lodderstedt - ACM Transactions on Software …, 2006 - dl.acm.org","… modeling language for this process, we propose a general schema for constructing such
languages that combines languages for modeling … as a large step towards integrating security …",https://dl.acm.org/doi/abs/10.1145/1125808.1125810,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/69242/1/eth-4475-01.pdf,,,,,
256,The AVANTSSAR platform for the automated validation of trust and security of service-oriented architectures,"A Armando, W Arsac, T Avanesov, M Barletta… - … 2012, Held as Part of the …, 2012 - Springer","… We have applied the platform to a large number of exemplary industrial case studies, which
we have collected into the AVANTSSAR Library of validated problem cases. In doing so, we …",https://link.springer.com/chapter/10.1007/978-3-642-28756-5_19,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=1f76aba2e1752625b34b6a9d7d9b11a61903bf31#page=284,,,,,
257,The cyber security modeling language: A tool for assessing the vulnerability of enterprise system architectures,"T Sommestad, M Ekstedt, H Holm - IEEE Systems Journal, 2012 - ieeexplore.ieee.org","… the security of an enterprise’s system architecture, a large … tool called the cyber security
modeling language (CySeMoL). This … model (PRM) [2] to support system-security managers in …",https://ieeexplore.ieee.org/abstract/document/6378394/,https://www.diva-portal.org/smash/get/diva2:561243/FULLTEXT02,,,,,
258,Communication-efficient learning of deep networks from decentralized data,"B McMahan, E Moore, D Ramage… - Artificial intelligence …, 2017 - proceedings.mlr.press","… can significantly reduce privacy and security risks by limiting the … image classification and
language modeling tasks where … over clients, we evaluate on a large language modeling task. …",https://proceedings.mlr.press/v54/mcmahan17a?ref=https://githubhelp.com,http://proceedings.mlr.press/v54/mcmahan17a/mcmahan17a.pdf,,,,,
259,Speak their language: Designing effective messages to improve employees' information security decision making,"AC Johnston, M Warkentin, AR Dennis… - Decision …, 2019 - Wiley Online Library","… within a large US … security-focused fear appeal message to use language that is more
personally relevant to employees without altering the core tenets of the appeal? Within a large …",https://onlinelibrary.wiley.com/doi/abs/10.1111/deci.12328,https://jyx.jyu.fi/bitstream/handle/123456789/63605/1/johnstonwarkentinetalspeaktheirlanguage.pdf,,,,,
260,OFMC: A symbolic model checker for security protocols,"D Basin, S Mödersheim, L Vigano - … Journal of Information Security, 2005 - Springer","… , an on-the-fly model checker for security protocol analysis. We have carried out a large
number of … Moreover, we have successfully applied OFMC to a number of large-scale protocols …",https://link.springer.com/article/10.1007/s10207-004-0055-7,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/52641/10207_2004_Article_55.pdf?sequence=2,,,,,
261,Analyzing information leakage of updates to natural language models,"S Zanella-Béguelin, L Wutschitz, S Tople… - … security, 2020 - dl.acm.org","… We show that a differential analysis of language model snapshots before and after an update
… We combined this large dataset with this (relatively low-capacity) model to test if our results …",https://dl.acm.org/doi/abs/10.1145/3372297.3417880,https://arxiv.org/pdf/1912.07942,,,,,
262,MOPS: an infrastructure for examining security properties of software,"H Chen, D Wagner - … on Computer and Communications Security, 2002 - dl.acm.org","… range of security vulnerabilities in large programs efficiently. … in the caller, and the language
generated with a stack is … we model the set T of feasible traces as a context free language. It …",https://dl.acm.org/doi/abs/10.1145/586110.586142,https://digitalassets.lib.berkeley.edu/techreports/ucb/text/CSD-02-1197.pdf,,,,,
263,A high level protocol specification language for industrial security-sensitive protocols,"Y Chevalier, L Compagna, J Cuellar… - … of Security …, 2004 - inria.hal.science","… with a temporal logic semantics to formalise security properties gives us great generality …
specification languages like HLPSL — for the analysis of large-scale Internet security-sensitive …",https://inria.hal.science/inria-00099882/document,https://inria.hal.science/inria-00099882/document,,,,,
264,Keyboard acoustic emanations revisited,"L Zhuang, F Zhou, JD Tygar - … on Information and System Security  …, 2009 - dl.acm.org","… For English text, the previously described spelling and grammar language model is used to
further correct the result. To distinguish between two types … We find the path with the largest: …",https://dl.acm.org/doi/abs/10.1145/1609956.1609959,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5a65641f9af29c4f63f026734c3b26290bf4c817,,,,,
265,Netspa: A network security planning architecture,ML Artz - 2002 - dspace.mit.edu,"… in the model checker's state transition language. This large setup cost is prohibitive for normal
security … In a similar vein, Sheyner et al. also use a modified model checker to create attack …",https://dspace.mit.edu/handle/1721.1/29899,https://dspace.mit.edu/bitstream/handle/1721.1/29899/51072296-MIT.pdf?sequence=2&isAllowed=y,,,,,
266,Model-based risk assessment to improve enterprise security,"JO Aagedal, F Den Braber, T Dimitrakos… - Proceedings. Sixth …, 2002 - ieeexplore.ieee.org","… However, UML is a large language and its use in different phases of system evolution is
not standardised. In this paper we show how UML can be used to document both the target of …",https://ieeexplore.ieee.org/abstract/document/1137696/,https://www.researchgate.net/profile/Ketil-Stolen/publication/3985784_Model-based_risk_assessment_to_improve_enterprise_security/links/614de1d2154b3227a8a8a329/Model-based-risk-assessment-to-improve-enterprise-security.pdf,,,,,
267,"Binder, a logic-based security language","J DeTreville - Proceedings 2002 IEEE Symposium on Security …, 2002 - ieeexplore.ieee.org","… a security language, used to express security statements in a distributed system. Most existing
security languages encode security … logic-based security language that encodes security …",https://ieeexplore.ieee.org/abstract/document/1004365/,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/tr-2002-21.doc,,,,,
268,The safe-tcl security model,"JK Ousterhout, JY Levy, BB Welch - 1998 - Springer","… This makes it difficult to provide a single security policy with a large variety of features; instead,
it encourages a large number of smaller, specialized security policies. The second lesson …",https://link.springer.com/chapter/10.1007/3-540-68671-1_12,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3c60ba5e7b5e75c85e43b1bf01a4b4101be67b8d,,Policy and Regulation,,,
269,The hiding virtues of ambiguity: quantifiably resilient watermarking of natural language text through synonym substitutions,"U Topkara, M Topkara, MJ Atallah - … on Multimedia and security, 2006 - dl.acm.org","… Previous schemes for information hiding in natural language … based on conformity to a
language model (and not in reference … A large number of these techniques are based on WordNet, …",https://dl.acm.org/doi/abs/10.1145/1161366.1161397,http://umut.topkara.org/papers/ToToAt_MMSEC06.pdf,,,,,
270,Recognizing functions in binaries with neural networks,"ECR Shin, D Song, R Moazzezi - … security symposium (USENIX Security …, 2015 - usenix.org","… Since we need to compute the gradient a very large number of times during optimization, …
[3] first used neural networks to make a language model. Language models give a probability …",https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/shin,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-shin.pdf,,,,,
271,Security-typed languages for implementation of cryptographic protocols: A case study,"A Askarov, A Sabelfeld - … Symposium on Research in Computer Security …, 2005 - Springer","… deploying security-typed languages. Motivated … security-typed language Jif. To the best of
our knowledge, this implementation is the largest program written in a security-typed language …",https://link.springer.com/chapter/10.1007/11555827_12,https://www.researchgate.net/profile/Paul-Syverson/publication/239577558_Computer_Security_-_ESORICS_2005_10th_European_Symposium_on_Research_in_Computer_Security_Milan_Italy_September_12-14_2005_Proceedings/links/0046352de80edc5626000000/Computer-Security-ESORICS-2005-10th-European-Symposium-on-Research-in-Computer-Security-Milan-Italy-September-12-14-2005-Proceedings.pdf#page=207,,,,,
272,Towards security defect prediction with AI,"CD Sestili, WS Snavely, NM VanHoudnos - arXiv preprint arXiv …, 2018 - arxiv.org","… questions [10], [11]; and a language modeling technique that represents words from natural-…
to model security defects. The most significant barrier to this work is the lack of large enough …",https://arxiv.org/abs/1808.09897,https://arxiv.org/pdf/1808.09897,,,,,Current Issues
273,"Multi-level fine-tuning, data augmentation, and few-shot learning for specialized cyber threat intelligence","M Bayer, T Frey, C Reuter - Computers & Security, 2023 - Elsevier","… (T) New insights on data augmentation with large pre-trained language models. In our study…
As in the former, we used the large language model GPT-3 with a prompting strategy and …",https://www.sciencedirect.com/science/article/pii/S0167404823003401,https://arxiv.org/pdf/2207.11076,,,,,
274,English shellcode,"J Mason, S Small, F Monrose… - … communications security, 2009 - dl.acm.org","… Generate and train a natural language model with a large and diverse corpus of English text…
To do so, we traverse the language model using the Viterbi algorithm [24]. Viterbi is used to …",https://dl.acm.org/doi/abs/10.1145/1653662.1653725,https://www.cs.umd.edu/class/fall2019/cmsc818O/papers/english-shellcode.pdf,,,,,
275,"Short text, large effect: Measuring the impact of user reviews on android app security & privacy","DC Nguyen, E Derr, M Backes… - … Security and Privacy (SP …, 2019 - ieeexplore.ieee.org","… and security- & privacy-related changes in apps. Using natural language processing on
4.5M user reviews for the top 2,583 apps in Google Play, we identified 5,527 security and …",https://ieeexplore.ieee.org/abstract/document/8835383/,https://publications.cispa.saarland/2815/1/main_sp.pdf,,,,,
